2015-06-05;"SEM SELO";COLETIVO;Branca;Masculino;;"Sul 1";"VILA MARIANA";MOEMA
2015-06-05;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-05;"SEM SELO";COLETIVO;Preta;Feminino;8;Centro;SE;SE
2015-06-05;"SEM SELO";COLETIVO;;;;"Sul 2";"M\'BOI MIRIM";"JD SAO LUIS"
2015-06-06;"SEM SELO";COLETIVO;;;1;;;
2015-06-06;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-07;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-07;"SEM SELO";INDIVIDUAL;Parda;Feminino;2;"Sul 2";"CAMPO LIMPO";"VILA ANDRADE"
2015-06-07;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-08;"SEM SELO";INDIVIDUAL;Indígena;Feminino;;Centro;SE;"BELA VISTA"
2015-06-08;"SEM SELO";INDIVIDUAL;Branca;Masculino;0;Oeste;PINHEIROS;"ITAIM BIBI"
2015-06-08;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-08;"SEM SELO";INDIVIDUAL;;;;Oeste;LAPA;"BARRA FUNDA"
2015-06-08;"SEM SELO";INDIVIDUAL;Parda;Masculino;1;Centro;SE;REPUBLICA
2015-06-08;"SEM SELO";COLETIVO;;;9;"Sul 1";"VILA MARIANA";MOEMA
2015-06-08;"SEM SELO";INDIVIDUAL;Parda;Feminino;7;Oeste;PINHEIROS;PINHEIROS
2015-06-08;"SEM SELO";INDIVIDUAL;;;;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-08;"SEM SELO";INDIVIDUAL;Branca;Masculino;5;"Sul 1";"VILA MARIANA";MOEMA
2015-06-08;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-08;"SEM SELO";COLETIVO;;;;Centro;SE;REPUBLICA
2015-06-08;"SEM SELO";INDIVIDUAL;Branca;Masculino;2;Oeste;LAPA;JAGUARA
2015-06-08;"SEM SELO";INDIVIDUAL;Branca;Feminino;5;"Leste 2";"CIDADE TIRADENTES";"CID TIRADENTES"
